ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Refreshment Beverages,Coolers,Spirit Coolers,CANADA,569400,MOTT'S CLAMATO - CAESAR EXTRA SPICY,65912006830,0.355,4,5.5,9.29,NA
Wine,France Wine,France Sparkling Wine,FRANCE,602508,PAUL BUISSE - CREMANT DE LOIRE,3174030006626,0.75,1,12,23.49,1
Wine,Israel Wine,Israel Red Wine,ISRAEL,611293,MOUNT HERMON RED - YARDEN 12/13 KOSHER,736040011651,0.75,1,14,20.49,1
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,621557,SHIRAZ CABERNET SAUVIGNON - MALLEE ROCK LIMESTONE COAST,56049133452,0.75,1,14.5,14.49,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,642926,DALMORE - 15 YEAR OLD,87647111689,0.75,1,40,106.99,0
Beer,Import Beer,Asia And South Pacific Beer,JAPAN,65326,SAPPORO PREMIUM,56910600106,0.341,6,5,12.29,NA
Wine,France Wine,France Champagne Wine,FRANCE,66191,MOET & CHANDON - DOM PERIGNON IRIS VAN HERPEN 2004,3185370562369,0.75,1,12.5,199.99,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,67454,HIGHLAND PARK - DARK ORIGINS,5010314301705,0.75,1,46.8,88.19,NA
Beer,Import Beer,Europe Beer,NETHERLANDS,676437,BAVARIA ORIGINAL BREW,8714800017282,0.5,6,5,10.79,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,676478,CALIFORNIA RED - INSOMNIA,818292010085,0.75,1,13.8,17.49,1
Wine,Italy Wine,Italy Red Wine,ITALY,679308,BRUNELLO DI MONTALCINO - SAN FILIPPO LE LUCERE RIS 2010,,1.5,1,14,399.99,0
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,688085,CABERNET SAUVIGNON - CAMERON HUGHES NAPA LOT 332 2010,845517003324,0.75,1,14.5,38.99,0
Spirits,Whisky,Canadian Whisky,CANADA,691121,CENTURY DISTILLERS - NINETY 5 YEAR OLD,776555200164,0.75,1,45,24.99,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,693929,PASO ROBLES RED - CALIFORNIA SQUARE 2012,812485010814,0.75,1,14.5,18.47,0
Wine,France Wine,France Red Wine,FRANCE,708750,VENTOUX - PESQUIE TERRASSES 2013/14,626990005377,0.75,1,14,18.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,719716,SUMMERHILL - BACO NOIR 2014,779000126019,0.75,1,13.9,21.99,0
Wine,Spain Wine,Spain Sparkling Wine,SPAIN,74757,FREIXENET - CARTA NEVADA BRUT,8410036002015,0.75,1,12,12.99,1
Spirits,Whisky,Irish Whiskey,IRELAND,748194,MIDLETON - GREEN SPOT,5011007008482,0.7,1,40,67.99,NA
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,760371,MERLOT - LAS MORAS DADA ART WINE 2,7791540044519,0.75,1,13,11.99,1
Wine,Canada - BC,Canada - BC Rose Wine,CANADA,776500,HESTER CREEK - CABERNET FRANC ROSE 2015,626990160793,0.75,1,13.5,17.99,0
Wine,Canada - BC,Canada - BC White Wine,CANADA,78378,TOSCANO BIANCO,63657001455,16,1,10.5,103.99,1
Wine,Chile Wine,Chile White Wine,CHILE,813576,SAUVIGNON BLANC - CONO SUR ORGANIC,7804320348063,0.75,1,13.5,13.49,0
Spirits,Grape and Fruit Brandy,Cognac,FRANCE,844795,CAMUS - MASTERPIECE COLLECTION CUVEE 4.176,3028130068681,0.7,1,43,5000,NA
Wine,Italy Wine,Italy Red Wine,ITALY,851576,BRUNELLO DI MONTALCINO - FOSSACOLLE 2011,8032535831080,0.75,1,14.5,52.99,0
Spirits,Grape and Fruit Brandy,Cognac,FRANCE,861005,CAMUS - X.O. ELEGANCE,3028130066137,0.7,1,40,189.99,NA
Wine,France Wine,France Red Wine,FRANCE,866673,MORGON - DUBOEUF JEAN ERNEST DESCOMBES 11,3351650001457,0.75,1,12.8,19.49,0
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,96339,SHIRAZ - WALTER CLAPPIS THE HEDONIST MCLAREN VALE 12/13,9344268000121,0.75,1,14,25.99,0
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,96966,MALBEC SHIRAZ - SANTA ANA RESERVE,7790762050100,0.75,1,13.5,13.49,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,627687,SANDHILL - GAMAY NOIR SANDHILL ESTATE 2014,58976350698,0.75,1,13,17.49,0
Spirits,Whisky,Canadian Whisky,CANADA,687,HIRAM WALKER - SPECIAL OLD,89540311326,0.375,1,40,10.99,NA
